Month,Forward_Peak,Forward_OffPeak
2026-02-01,51.4,65.81
2026-03-01,19.21,37.62
2026-04-01,10.97,37.87
2026-05-01,7.81,32.31
2026-06-01,19.87,36.72
2026-07-01,52.73,51.84
2026-08-01,66.65,64.2
2026-09-01,54.69,55.93
2026-10-01,41.92,49.48
2026-11-01,49.26,60.14
2026-12-01,72.65,76.16
2027-01-01,73.81,85.97
2027-02-01,51.27,71.7
2027-03-01,27.01,42.91
2027-04-01,11.54,35.78
2027-05-01,8.87,33.92
2027-06-01,19.44,41.3
2027-07-01,52.8,55.03
2027-08-01,69.43,69.87
2027-09-01,52.39,57.25
2027-10-01,42.8,58.61
2027-11-01,45.19,60.97
2027-12-01,76.43,84.02
2028-01-01,71.99,83.22
2028-02-01,48.0,67.55
2028-03-01,30.45,49.71
2028-04-01,11.17,31.82
2028-05-01,9.3,28.66
2028-06-01,23.39,47.49
2028-07-01,51.43,58.17
2028-08-01,75.41,70.38
2028-09-01,58.36,66.15
2028-10-01,38.38,59.27
2028-11-01,40.1,61.52
2028-12-01,75.33,92.03
2029-01-01,62.32,83.1
2029-02-01,46.35,64.99
2029-03-01,31.71,51.08
2029-04-01,16.31,44.65
2029-05-01,13.48,35.61
2029-06-01,23.47,48.31
2029-07-01,70.06,73.94
2029-08-01,73.88,82.82
2029-09-01,69.32,76.08
2029-10-01,35.17,53.93
2029-11-01,37.28,58.29
2029-12-01,67.07,87.83
2030-01-01,59.83,75.67
2030-02-01,45.59,63.94
2030-03-01,31.49,61.32
2030-04-01,15.97,45.86
2030-05-01,14.12,45.43
2030-06-01,23.15,46.54
2030-07-01,64.14,88.5
2030-08-01,68.14,92.02
2030-09-01,64.11,89.34
2030-10-01,36.37,62.73
2030-11-01,38.26,63.22
2030-12-01,65.24,65.68
