MonthStart,Peak_MWh,Offpeak_MWh
2026-02-01,6548.14065027024,2548.536900668475
2026-03-01,12726.557465735366,4081.2584125364137
2026-04-01,12465.292805866726,5642.827252456306
2026-05-01,11978.23461804665,5429.51848508953
2026-06-01,14588.370143937014,4300.62295670934
2026-07-01,14366.582981600866,5722.822726747922
2026-08-01,12127.993623451759,6302.036148646479
2026-09-01,11925.381438293272,3824.3833692527905
2026-10-01,7837.789581476279,2663.6101896053224
2026-11-01,6757.781311535031,1261.295624224997
2026-12-01,4233.098153659587,2467.3425795603357
2027-01-01,3937.8090908027207,2675.880041691875
2027-02-01,6678.4777866841905,2982.468403568579
2027-03-01,12696.736043767016,4587.15832709681
2027-04-01,8061.207890032496,1907.984743343085
2027-05-01,11056.83478466886,6648.082821843654
2027-06-01,14688.30836828844,6316.76370969732
2027-07-01,17518.5368556678,6074.748579696198
2027-08-01,12869.6596877944,6200.228053176111
2027-09-01,8988.815541351829,3433.9415127227494
2027-10-01,8344.622517081487,3745.5484340115636
2027-11-01,5936.4959630413605,2011.9556918505248
2027-12-01,6152.239071711276,1078.3076613470605
2028-01-01,4696.33189196958,2443.3067215606907
2028-02-01,8932.829069846634,1452.3936117848684
2028-03-01,10478.400719745476,4027.163671299247
2028-04-01,11912.883485008377,5926.734144464629
2028-05-01,16252.727529628486,5072.455629451531
2028-06-01,15131.81928842413,4696.297333902735
2028-07-01,13094.215881591634,7589.734369161479
2028-08-01,13412.955528290047,4865.193363197139
2028-09-01,11472.648163740143,3378.0921344755843
2028-10-01,6646.520300869058,4522.545226352762
2028-11-01,4594.228557776192,2901.3974504879448
2028-12-01,5255.087349478669,2978.1190458514807
2029-01-01,4335.139616287118,2468.253362669763
2029-02-01,6614.080387899691,1187.7246547873096
2029-03-01,11663.771022007653,4650.187454147357
2029-04-01,14187.950558805196,5853.066881852966
2029-05-01,13463.176737504342,5957.259951912541
2029-06-01,12902.70231153321,7036.18608413328
2029-07-01,13685.024612203155,5553.200442787429
2029-08-01,12052.94174576894,5644.399493132748
2029-09-01,10452.506847510784,5152.977974803159
2029-10-01,9031.45799363543,3551.950443579617
2029-11-01,3827.1182745109236,2622.0630262601003
2029-12-01,3525.7920696360748,1485.511058277151
2030-01-01,4935.569924393471,1216.368814235888
2030-02-01,8150.166312125891,2267.976060934638
2030-03-01,7042.476368571339,5339.577528267367
2030-04-01,10767.099373771953,4695.169755018854
2030-05-01,14282.788506909063,4993.355663783923
2030-06-01,14195.549581052015,7832.967906495007
2030-07-01,13343.147690856249,7400.335767620762
2030-08-01,14064.768207592111,6505.0768088625
2030-09-01,10423.77025407144,4524.907689682115
2030-10-01,8996.309201444823,1939.4945299656972
2030-11-01,5333.6155480584375,1970.8629783938334
2030-12-01,4892.753020213867,2044.6376969217379
